Title	URL	Assignees	Status	Labels	Linked pull requests	Milestone	Repository	Reviewers
Log out from the app			Done in Sprint #7					
Remember sign-in option			Done in Sprint #7					
List of all stops			Done in Sprint #7					
Delete expense			Done in Sprint #7					
Delete trip			Done in Sprint #7					
Oflline access			Sprint Backlog					
Settle debt			Sprint Backlog					
Chose currency exchange			Sprint Backlog					
Documents storing and sharing			Done in Sprint #8					
Push notifications	https://github.com/WanderPals/WanderPals/issues/238	Polo150202	Done in Sprint #8	4h, Backend, Code Implementation, Sprint#6, Sprint#7	https://github.com/WanderPals/WanderPals/pull/286		WanderPals/WanderPals	
Image for the trip			Done in Sprint #8					
Finance category and debt			Done in Sprint #8					
Delete stops			Done in Sprint #8					
Suggestion history			Done in Sprint #8					
At the end of the trip or at any designated point, the app provides a summary of expenses and balances.			Done in Sprint #8					
Figma mockups for the members list	https://github.com/WanderPals/WanderPals/issues/241	ForestDope	Done in Sprint #8	3h, Figma, Sprint#6			WanderPals/WanderPals	
Log out from the app	https://github.com/WanderPals/WanderPals/issues/288	mtv47	Done in Sprint #7	2h, Code Implementation, Frontend, Sprint#7	https://github.com/WanderPals/WanderPals/pull/308		WanderPals/WanderPals	
Remember sign in when starting the app	https://github.com/WanderPals/WanderPals/issues/289	mtv47	Done in Sprint #7	4h, Backend, Code Implementation, Sprint#7	https://github.com/WanderPals/WanderPals/pull/308		WanderPals/WanderPals	
Finance category screen UI	https://github.com/WanderPals/WanderPals/issues/293	Exino329	Done in Sprint #7	4h, Code Implementation, Frontend, Sprint#7	https://github.com/WanderPals/WanderPals/pull/311		WanderPals/WanderPals	
Finance category screen Logic	https://github.com/WanderPals/WanderPals/issues/294	Exino329	Done in Sprint #7	3h, Backend, Code Implementation, Sprint#7	https://github.com/WanderPals/WanderPals/pull/311		WanderPals/WanderPals	
Private document screen	https://github.com/WanderPals/WanderPals/issues/290	Polo150202	Done in Sprint #7	4h, Backend, Code Implementation, Frontend, Sprint#7	https://github.com/WanderPals/WanderPals/pull/340		WanderPals/WanderPals	
Image for the trip	https://github.com/WanderPals/WanderPals/issues/292	Polo150202	Done in Sprint #8	2h, Backend, Code Implementation, Frontend, Sprint#8	https://github.com/WanderPals/WanderPals/pull/343		WanderPals/WanderPals	
